Age,Attrition,BusinessTravel,Department,DistanceFromHome,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsSinceLastPromotion
26,Yes,Travel_Rarely,Research & Development,25,Life Sciences,1,55,1,Male,Laboratory Technician,3,Single,2293,1,No,1,2,1,0
27,No,Travel_Frequently,Sales,8,Life Sciences,1,56,4,Male,Sales Executive,3,Single,8726,1,No,9,3,9,1
30,No,Travel_Frequently,Research & Development,1,Medical,1,57,3,Female,Laboratory Technician,4,Single,4011,1,No,12,3,12,3
41,Yes,Travel_Rarely,Research & Development,12,Technical Degree,1,58,2,Female,Research Director,3,Married,19545,1,No,23,3,22,15
34,No,Non-Travel,Sales,23,Marketing,1,60,2,Male,Sales Executive,3,Single,4568,0,No,10,3,9,8
37,No,Travel_Rarely,Research & Development,19,Life Sciences,1,61,2,Male,Research Scientist,2,Married,3022,4,No,8,3,1,0
46,No,Travel_Frequently,Sales,5,Marketing,1,62,1,Male,Sales Executive,4,Single,5772,4,Yes,14,3,9,0
35,No,Travel_Rarely,Research & Development,8,Life Sciences,1,63,4,Male,Laboratory Technician,4,Married,2269,1,No,1,3,1,0
48,Yes,Travel_Rarely,Research & Development,1,Life Sciences,1,64,1,Male,Laboratory Technician,3,Single,5381,9,Yes,23,3,1,0
28,Yes,Travel_Rarely,Research & Development,5,Technical Degree,1,65,3,Male,Laboratory Technician,3,Single,3441,1,Yes,2,2,2,2
44,No,Travel_Rarely,Sales,1,Marketing,1,68,2,Female,Sales Executive,1,Divorced,5454,5,Yes,9,2,4,1
35,No,Non-Travel,Research & Development,11,Medical,1,70,3,Male,Healthcare Representative,1,Married,9884,2,Yes,10,3,4,2
26,No,Travel_Rarely,Sales,23,Marketing,1,72,3,Female,Sales Executive,4,Married,4157,7,Yes,5,2,2,0
33,No,Travel_Frequently,Research & Development,1,Life Sciences,1,73,1,Female,Research Director,4,Single,13458,1,Yes,15,3,15,8
35,No,Travel_Frequently,Sales,18,Life Sciences,1,74,2,Male,Sales Executive,1,Married,9069,1,No,9,2,9,1
35,No,Travel_Rarely,Research & Development,23,Medical,1,75,3,Female,Laboratory Technician,1,Married,4014,3,Yes,4,3,2,2
31,No,Travel_Rarely,Research & Development,7,Life Sciences,1,76,4,Male,Laboratory Technician,4,Divorced,5915,3,No,10,2,7,1
37,No,Travel_Rarely,Research & Development,1,Life Sciences,1,77,1,Male,Manufacturing Director,3,Divorced,5993,1,No,7,4,7,0
32,No,Travel_Rarely,Research & Development,1,Medical,1,78,1,Male,Manufacturing Director,4,Married,6162,1,Yes,9,3,9,7
38,No,Travel_Frequently,Research & Development,29,Life Sciences,1,79,4,Female,Laboratory Technician,4,Single,2406,1,No,10,3,10,9
50,No,Travel_Rarely,Research & Development,7,Medical,1,80,2,Female,Research Director,3,Divorced,18740,5,Yes,29,2,27,13
59,No,Travel_Rarely,Sales,25,Life Sciences,1,81,1,Female,Sales Executive,1,Single,7637,7,No,28,2,21,7
36,No,Travel_Rarely,Research & Development,8,Technical Degree,1,83,3,Female,Healthcare Representative,3,Divorced,10096,1,No,17,3,17,12
55,No,Travel_Rarely,Research & Development,8,Medical,1,84,4,Female,Manager,3,Divorced,14756,2,Yes,21,3,5,0
36,No,Travel_Frequently,Research & Development,11,Life Sciences,1,85,2,Male,Manufacturing Director,2,Single,6499,1,No,6,3,6,0
45,No,Travel_Rarely,Research & Development,7,Life Sciences,1,86,2,Male,Research Scientist,1,Divorced,9724,2,No,25,3,1,0
35,No,Travel_Frequently,Research & Development,1,Medical,1,88,2,Male,Research Scientist,1,Married,2194,4,No,5,2,3,1
36,Yes,Travel_Rarely,Research & Development,9,Medical,1,90,4,Male,Research Scientist,3,Married,3388,0,Yes,2,2,1,0
59,No,Travel_Frequently,Sales,1,Life Sciences,1,91,1,Female,Sales Executive,3,Single,5473,7,No,20,2,4,1
29,No,Travel_Rarely,Research & Development,2,Life Sciences,1,94,3,Male,Research Scientist,2,Married,2703,0,No,6,3,5,0
31,No,Travel_Rarely,Research & Development,1,Medical,1,95,3,Male,Research Scientist,2,Single,2501,1,No,1,3,1,1
32,No,Travel_Rarely,Research & Development,1,Life Sciences,1,96,2,Male,Research Scientist,2,Married,6220,1,No,10,3,10,0
36,No,Travel_Rarely,Research & Development,6,Life Sciences,1,97,2,Female,Laboratory Technician,4,Married,3038,3,No,5,3,1,0
31,No,Travel_Rarely,Research & Development,8,Life Sciences,1,98,3,Female,Manufacturing Director,4,Single,4424,1,No,11,3,11,1
35,No,Travel_Rarely,Sales,1,Marketing,1,100,3,Male,Sales Executive,1,Single,4312,0,No,16,3,15,2
45,No,Travel_Rarely,Research & Development,6,Other,1,101,4,Male,Research Director,1,Married,13245,4,Yes,17,4,0,0
37,No,Travel_Rarely,Research & Development,7,Medical,1,102,1,Male,Research Director,3,Single,13664,4,No,16,4,5,0
46,No,Travel_Rarely,Human Resources,5,Medical,1,103,2,Male,Human Resources,2,Divorced,5021,8,Yes,16,3,4,0
30,No,Travel_Rarely,Research & Development,1,Life Sciences,1,104,4,Male,Laboratory Technician,4,Married,5126,1,Yes,10,2,10,3
35,No,Travel_Rarely,Research & Development,1,Medical,1,105,2,Male,Research Scientist,3,Single,2859,1,No,6,3,6,0
55,No,Travel_Rarely,Sales,1,Life Sciences,1,106,1,Male,Sales Executive,4,Married,10239,3,No,24,3,1,1
38,No,Non-Travel,Research & Development,6,Medical,1,107,2,Female,Research Scientist,4,Divorced,5329,7,Yes,17,3,13,1
34,No,Travel_Rarely,Research & Development,1,Medical,1,110,1,Male,Manufacturing Director,2,Married,4325,1,No,5,3,5,1
56,No,Travel_Rarely,Research & Development,7,Life Sciences,1,112,4,Male,Manufacturing Director,4,Single,7260,4,No,37,2,6,0
23,No,Travel_Rarely,Sales,2,Technical Degree,1,113,3,Male,Sales Representative,1,Divorced,2322,3,No,3,3,0,0
51,No,Travel_Rarely,Research & Development,9,Life Sciences,1,116,4,Male,Laboratory Technician,4,Married,2075,3,No,10,3,4,0
30,No,Travel_Rarely,Research & Development,2,Life Sciences,1,117,3,Male,Healthcare Representative,4,Married,4152,1,No,11,3,11,10
46,Yes,Travel_Rarely,Sales,9,Medical,1,118,3,Male,Sales Executive,4,Single,9619,1,No,9,3,9,4
40,No,Travel_Frequently,Research & Development,1,Life Sciences,1,119,3,Male,Healthcare Representative,2,Married,13503,1,No,22,2,22,11
51,No,Travel_Rarely,Sales,21,Marketing,1,120,3,Male,Sales Executive,4,Single,5441,0,Yes,11,1,10,1
30,No,Travel_Rarely,Sales,4,Medical,1,121,3,Female,Sales Executive,2,Divorced,5209,1,Yes,11,2,11,2
46,No,Travel_Frequently,Research & Development,1,Medical,1,124,3,Male,Healthcare Representative,1,Married,10673,2,Yes,21,2,10,9
32,No,Travel_Rarely,Sales,6,Medical,1,125,2,Male,Sales Executive,3,Single,5010,1,No,12,3,11,5
54,No,Travel_Rarely,Research & Development,2,Technical Degree,1,126,1,Female,Research Director,3,Married,13549,9,No,16,1,4,0
24,No,Travel_Rarely,Sales,3,Other,1,128,1,Female,Sales Executive,3,Married,4999,0,No,4,2,3,0
28,No,Non-Travel,Sales,4,Medical,1,129,2,Male,Sales Executive,3,Married,4221,1,No,5,4,5,0
58,No,Travel_Rarely,Sales,10,Medical,1,131,4,Male,Sales Executive,3,Single,13872,0,No,38,2,37,1
44,No,Non-Travel,Research & Development,23,Medical,1,132,2,Male,Laboratory Technician,2,Married,2042,4,No,17,4,3,1
37,Yes,Travel_Rarely,Human Resources,6,Human Resources,1,133,3,Male,Human Resources,1,Divorced,2073,4,Yes,7,3,3,0
32,No,Travel_Rarely,Research & Development,1,Life Sciences,1,134,4,Male,Research Scientist,1,Single,2956,1,No,1,3,1,0
20,Yes,Travel_Frequently,Research & Development,6,Life Sciences,1,137,4,Female,Laboratory Technician,4,Single,2926,1,Yes,1,3,1,1
34,No,Travel_Rarely,Research & Development,6,Other,1,138,1,Female,Research Scientist,3,Single,4809,1,No,16,3,16,2
37,No,Non-Travel,Research & Development,2,Life Sciences,1,139,3,Male,Healthcare Representative,4,Divorced,5163,5,No,17,4,1,0
59,No,Non-Travel,Human Resources,2,Human Resources,1,140,3,Female,Manager,4,Married,18844,9,No,30,3,3,2
50,No,Travel_Frequently,Research & Development,1,Life Sciences,1,141,1,Female,Research Director,2,Married,18172,3,Yes,28,2,8,0
25,Yes,Travel_Rarely,Sales,5,Marketing,1,142,3,Male,Sales Executive,3,Single,5744,1,Yes,6,3,6,0
25,No,Travel_Rarely,Research & Development,7,Medical,1,143,4,Male,Research Scientist,4,Married,2889,1,No,2,3,2,2
22,No,Travel_Rarely,Research & Development,15,Medical,1,144,2,Female,Laboratory Technician,4,Single,2871,1,No,1,3,0,0
51,No,Travel_Frequently,Research & Development,1,Medical,1,145,1,Female,Healthcare Representative,1,Single,7484,3,No,23,2,13,12
34,Yes,Travel_Frequently,Research & Development,7,Life Sciences,1,147,1,Male,Laboratory Technician,3,Single,6074,1,Yes,9,3,9,0
54,No,Non-Travel,Human Resources,26,Human Resources,1,148,4,Female,Manager,4,Single,17328,2,Yes,23,3,5,4
24,No,Travel_Rarely,Research & Development,18,Life Sciences,1,150,2,Male,Laboratory Technician,3,Married,2774,0,No,6,3,5,1
34,No,Travel_Rarely,Research & Development,6,Life Sciences,1,151,3,Female,Research Scientist,2,Divorced,4505,6,No,12,3,1,0
37,No,Travel_Rarely,Sales,3,Life Sciences,1,152,3,Male,Sales Executive,4,Single,7428,2,No,12,3,5,1
34,No,Travel_Rarely,Research & Development,5,Medical,1,153,3,Female,Manager,1,Single,11631,2,No,14,3,11,5
36,No,Travel_Frequently,Sales,11,Technical Degree,1,154,2,Female,Sales Executive,4,Married,9738,0,No,10,3,9,2
36,No,Travel_Rarely,Research & Development,3,Life Sciences,1,155,1,Female,Laboratory Technician,4,Divorced,2835,5,No,7,3,1,0
43,No,Travel_Frequently,Sales,26,Life Sciences,1,158,3,Male,Manager,4,Married,16959,1,Yes,25,4,25,4
30,No,Travel_Frequently,Research & Development,23,Life Sciences,1,159,1,Male,Research Scientist,3,Divorced,2613,1,No,10,2,10,0
33,No,Non-Travel,Sales,22,Marketing,1,160,3,Male,Sales Executive,2,Married,6146,0,No,8,4,7,0
56,Yes,Travel_Rarely,Research & Development,14,Life Sciences,1,161,2,Female,Research Scientist,2,Married,4963,9,Yes,7,3,5,4
51,No,Travel_Rarely,Research & Development,6,Life Sciences,1,162,1,Male,Research Director,3,Single,19537,7,No,23,3,20,15
31,Yes,Travel_Rarely,Sales,6,Life Sciences,1,163,2,Male,Sales Executive,3,Married,6172,4,Yes,12,2,7,7
26,No,Travel_Rarely,Research & Development,6,Other,1,164,3,Female,Research Scientist,2,Married,2368,1,No,5,2,5,4
58,Yes,Travel_Rarely,Research & Development,23,Medical,1,165,4,Female,Healthcare Representative,4,Married,10312,1,No,40,2,40,15
19,Yes,Travel_Rarely,Sales,22,Marketing,1,167,4,Male,Sales Representative,3,Single,1675,1,Yes,0,2,0,0
22,No,Travel_Rarely,Research & Development,2,Technical Degree,1,169,3,Male,Laboratory Technician,4,Married,2523,0,No,3,3,2,2
49,No,Travel_Rarely,Research & Development,20,Medical,1,170,3,Female,Manufacturing Director,1,Married,6567,1,No,16,2,15,5
43,No,Travel_Frequently,Research & Development,28,Medical,1,171,2,Female,Research Scientist,3,Single,4739,4,No,18,3,3,1
50,No,Travel_Frequently,Sales,12,Marketing,1,174,3,Female,Sales Executive,4,Single,9208,4,No,16,3,2,2
31,Yes,Travel_Rarely,Sales,20,Life Sciences,1,175,2,Female,Sales Executive,3,Married,4559,3,Yes,4,3,2,2
41,No,Travel_Rarely,Sales,9,Life Sciences,1,176,3,Male,Sales Executive,3,Divorced,8189,3,Yes,12,3,9,0
26,No,Travel_Rarely,Human Resources,25,Life Sciences,1,177,3,Female,Human Resources,3,Married,2942,1,No,8,3,8,5
36,No,Travel_Rarely,Research & Development,6,Medical,1,178,2,Male,Manufacturing Director,2,Divorced,4941,6,No,7,3,3,0
51,Yes,Travel_Frequently,Research & Development,8,Life Sciences,1,179,1,Male,Manufacturing Director,4,Single,10650,2,No,18,3,4,0
39,No,Travel_Rarely,Sales,4,Life Sciences,1,182,4,Female,Sales Executive,3,Married,5902,4,No,17,4,15,5
25,No,Travel_Rarely,Sales,28,Life Sciences,1,183,1,Male,Sales Executive,3,Married,8639,2,No,6,3,2,2
30,No,Travel_Rarely,Human Resources,9,Human Resources,1,184,3,Male,Human Resources,4,Married,6347,0,Yes,12,1,11,4
32,Yes,Travel_Rarely,Research & Development,9,Medical,1,190,1,Female,Laboratory Technician,1,Single,4200,7,No,10,4,5,0
45,No,Travel_Rarely,Research & Development,29,Medical,1,192,3,Male,Research Scientist,4,Single,3452,5,No,9,2,6,0
38,No,Travel_Rarely,Research & Development,3,Technical Degree,1,193,4,Female,Research Scientist,3,Single,4317,3,Yes,19,3,3,2
30,No,Travel_Rarely,Research & Development,18,Life Sciences,1,194,1,Female,Research Scientist,3,Single,2632,1,No,5,2,5,0
32,No,Travel_Frequently,Sales,9,Medical,1,195,4,Male,Sales Executive,4,Divorced,4668,0,No,9,4,8,0
30,No,Travel_Rarely,Research & Development,5,Technical Degree,1,197,4,Female,Research Scientist,1,Divorced,3204,5,No,8,3,3,2
30,No,Travel_Rarely,Research & Development,2,Medical,1,198,2,Male,Laboratory Technician,4,Single,2720,0,No,6,3,5,1
41,No,Travel_Frequently,Research & Development,10,Life Sciences,1,199,4,Male,Manager,1,Divorced,17181,4,No,21,2,7,7
41,No,Travel_Rarely,Research & Development,9,Life Sciences,1,200,3,Male,Laboratory Technician,1,Married,2238,2,No,7,3,5,1
19,No,Travel_Rarely,Research & Development,3,Medical,1,201,2,Female,Laboratory Technician,2,Single,1483,1,No,1,3,1,0
40,No,Travel_Frequently,Research & Development,26,Medical,1,202,2,Female,Research Scientist,2,Divorced,5605,1,No,20,3,20,2
35,No,Travel_Rarely,Sales,1,Marketing,1,204,3,Male,Sales Executive,2,Married,7295,1,No,10,3,10,0
53,No,Travel_Rarely,Sales,6,Marketing,1,205,2,Male,Sales Representative,3,Married,2306,2,Yes,13,1,7,4
45,No,Travel_Rarely,Research & Development,9,Life Sciences,1,206,2,Male,Laboratory Technician,2,Divorced,2348,8,No,20,1,17,0
32,No,Travel_Frequently,Sales,8,Marketing,1,207,2,Female,Sales Executive,4,Single,8998,1,No,9,3,9,3
29,No,Non-Travel,Research & Development,1,Technical Degree,1,208,4,Male,Manufacturing Director,3,Married,4319,1,No,10,3,10,0
51,No,Travel_Rarely,Research & Development,7,Medical,1,211,2,Male,Manufacturing Director,3,Married,6132,2,No,10,3,1,0
58,No,Travel_Rarely,Research & Development,9,Medical,1,214,2,Female,Research Scientist,2,Married,3346,4,Yes,9,2,1,0
40,No,Travel_Rarely,Sales,4,Marketing,1,215,3,Male,Sales Executive,4,Married,10855,7,No,15,2,12,2
34,No,Travel_Frequently,Sales,2,Marketing,1,216,3,Female,Sales Representative,3,Married,2231,6,No,6,3,4,1
22,No,Travel_Rarely,Research & Development,19,Medical,1,217,3,Male,Research Scientist,4,Married,2323,1,No,2,3,2,2
27,No,Non-Travel,Research & Development,9,Medical,1,218,4,Male,Research Scientist,2,Divorced,2024,6,No,6,1,2,2
28,No,Travel_Rarely,Research & Development,21,Medical,1,221,3,Male,Research Scientist,4,Married,2713,1,No,5,1,5,0
57,No,Travel_Rarely,Research & Development,24,Life Sciences,1,223,3,Male,Healthcare Representative,4,Divorced,9439,3,Yes,12,1,5,1
27,No,Non-Travel,Research & Development,3,Medical,1,224,3,Male,Research Scientist,3,Divorced,2566,1,Yes,1,2,1,0
50,No,Travel_Rarely,Research & Development,11,Life Sciences,1,226,3,Female,Manager,2,Single,19926,3,No,21,3,5,4
41,No,Travel_Rarely,Research & Development,14,Life Sciences,1,227,1,Male,Research Scientist,3,Divorced,2451,4,No,13,3,9,1
30,No,Travel_Rarely,Sales,5,Life Sciences,1,228,2,Female,Sales Executive,4,Married,9419,2,No,12,3,10,7
38,No,Travel_Rarely,Sales,1,Life Sciences,1,230,1,Female,Sales Executive,4,Single,8686,4,No,12,4,8,0
32,No,Travel_Rarely,Research & Development,6,Life Sciences,1,231,3,Male,Research Scientist,3,Single,3038,3,No,8,3,5,1
27,No,Travel_Rarely,Research & Development,17,Technical Degree,1,233,3,Male,Research Scientist,2,Married,3058,0,Yes,6,2,5,1
19,Yes,Travel_Frequently,Sales,1,Technical Degree,1,235,3,Female,Sales Representative,1,Single,2325,0,No,1,4,0,0
36,No,Travel_Frequently,Research & Development,3,Medical,1,238,4,Male,Laboratory Technician,2,Single,2088,4,No,13,2,8,7
30,No,Non-Travel,Research & Development,9,Medical,1,239,3,Male,Laboratory Technician,1,Divorced,3072,1,No,12,3,12,6
45,No,Travel_Rarely,Sales,4,Life Sciences,1,240,3,Female,Sales Executive,1,Divorced,5006,4,Yes,9,4,5,0
56,No,Travel_Rarely,Research & Development,8,Life Sciences,1,241,3,Female,Research Scientist,1,Divorced,4257,4,Yes,19,3,2,2
33,No,Travel_Rarely,Research & Development,2,Life Sciences,1,242,3,Male,Research Scientist,4,Single,2500,0,No,4,4,3,0
19,Yes,Travel_Rarely,Research & Development,2,Life Sciences,1,243,2,Male,Laboratory Technician,4,Single,1102,1,No,1,2,1,1
46,No,Travel_Rarely,Sales,1,Marketing,1,244,2,Female,Sales Executive,1,Divorced,10453,1,No,24,3,24,15
38,No,Travel_Rarely,Research & Development,9,Life Sciences,1,245,3,Female,Laboratory Technician,4,Single,2288,1,No,2,3,2,2
31,No,Travel_Rarely,Research & Development,12,Medical,1,246,3,Female,Research Scientist,4,Married,3929,8,Yes,7,3,4,0
34,No,Travel_Rarely,Research & Development,27,Medical,1,247,4,Female,Research Scientist,2,Single,2311,2,No,9,3,3,1
41,Yes,Travel_Rarely,Sales,20,Marketing,1,248,2,Female,Sales Representative,2,Single,3140,1,Yes,4,2,4,0
50,No,Travel_Rarely,Research & Development,1,Medical,1,249,3,Male,Laboratory Technician,3,Married,3690,2,No,5,2,3,0
53,No,Travel_Rarely,Research & Development,13,Medical,1,250,4,Female,Manufacturing Director,1,Divorced,4450,1,No,5,3,4,1
33,No,Travel_Rarely,Research & Development,14,Medical,1,252,4,Female,Research Scientist,2,Married,2756,1,No,8,3,8,1
40,No,Travel_Rarely,Research & Development,4,Medical,1,253,4,Female,Manager,3,Married,19033,1,No,21,3,20,9
55,No,Travel_Rarely,Research & Development,14,Medical,1,254,3,Male,Research Director,2,Single,18722,8,No,36,3,24,2
34,No,Travel_Frequently,Research & Development,2,Life Sciences,1,256,4,Male,Manufacturing Director,3,Married,9547,1,No,10,2,10,1
51,No,Travel_Rarely,Research & Development,3,Medical,1,258,4,Female,Healthcare Representative,2,Single,13734,3,No,21,3,7,1
52,No,Travel_Rarely,Research & Development,1,Life Sciences,1,259,3,Male,Manager,3,Married,19999,0,No,34,3,33,11
27,No,Travel_Rarely,Research & Development,9,Medical,1,260,4,Female,Research Scientist,2,Single,2279,1,No,7,2,7,0
35,Yes,Travel_Rarely,Research & Development,23,Life Sciences,1,261,2,Male,Manufacturing Director,3,Married,5916,3,Yes,8,3,1,0
43,No,Non-Travel,Research & Development,7,Medical,1,262,4,Male,Research Scientist,4,Divorced,2089,4,No,7,4,5,2
45,No,Non-Travel,Research & Development,2,Medical,1,264,1,Male,Manager,4,Married,16792,9,No,22,3,20,11
37,No,Travel_Rarely,Research & Development,21,Life Sciences,1,267,2,Male,Research Scientist,1,Married,3564,1,Yes,8,2,8,1
35,No,Travel_Frequently,Research & Development,2,Medical,1,269,2,Female,Laboratory Technician,2,Single,4425,5,No,10,3,6,1
42,No,Non-Travel,Research & Development,21,Medical,1,270,3,Female,Manufacturing Director,3,Divorced,5265,2,No,11,3,5,0
38,No,Travel_Rarely,Research & Development,2,Life Sciences,1,271,4,Male,Manufacturing Director,3,Married,6553,9,No,14,3,1,0
38,No,Travel_Rarely,Research & Development,29,Technical Degree,1,273,4,Male,Manufacturing Director,4,Married,6261,3,No,9,1,7,1
27,No,Travel_Frequently,Research & Development,1,Technical Degree,1,274,3,Male,Manufacturing Director,1,Married,4298,5,No,6,3,2,2
49,No,Non-Travel,Research & Development,18,Life Sciences,1,275,4,Male,Manufacturing Director,4,Divorced,6804,1,Yes,7,3,7,1
34,No,Travel_Frequently,Research & Development,10,Medical,1,277,4,Male,Research Scientist,3,Divorced,3815,1,Yes,5,4,5,2
40,No,Travel_Rarely,Research & Development,19,Medical,1,281,3,Male,Laboratory Technician,4,Married,2741,8,Yes,15,4,7,3
38,Yes,Travel_Rarely,Research & Development,29,Medical,1,282,2,Male,Healthcare Representative,1,Married,6673,7,Yes,17,3,1,0
29,Yes,Travel_Rarely,Sales,27,Marketing,1,283,2,Female,Sales Executive,4,Married,7639,1,No,10,2,10,1
22,No,Travel_Rarely,Research & Development,5,Life Sciences,1,284,4,Male,Research Scientist,2,Divorced,2328,1,Yes,4,2,4,2
36,No,Travel_Frequently,Research & Development,18,Medical,1,286,2,Female,Laboratory Technician,4,Single,2153,1,No,8,3,8,1
40,No,Non-Travel,Research & Development,9,Life Sciences,1,287,4,Male,Healthcare Representative,4,Married,4876,9,No,5,1,3,0
46,No,Travel_Rarely,Research & Development,1,Medical,1,288,4,Male,Healthcare Representative,1,Divorced,9396,7,No,17,3,4,0
32,Yes,Travel_Rarely,Sales,4,Medical,1,291,4,Male,Sales Executive,4,Married,10400,1,No,14,2,14,9
30,No,Non-Travel,Research & Development,1,Life Sciences,1,292,3,Male,Manufacturing Director,3,Single,8474,1,No,12,3,11,5
27,No,Travel_Frequently,Sales,20,Life Sciences,1,293,4,Female,Sales Executive,3,Single,9981,1,No,7,3,7,0
51,No,Travel_Rarely,Research & Development,8,Life Sciences,1,296,2,Male,Research Director,2,Married,12490,5,No,16,1,10,4
